Last metadata expiration check: 20:51:34 ago on Tue 12 Aug 2025 02:29:57 PM EDT.
Dependencies resolved.
==========================================================================================================================================================
 Package                                    Architecture          Version                                           Repository                       Size
==========================================================================================================================================================
Installing:
 python3-audit                              x86_64                3.1.2-1.el8_10.1                                  rhel08-baseos                    88 k
 python3-libs                               x86_64                3.6.8-70.el8_10                                   rhel08-baseos                   7.9 M
 python3-libsemanage                        x86_64                2.9-12.el8_10                                     rhel08-baseos                   129 k
 python3-libxml2                            x86_64                2.9.7-21.el8_10.3                                 rhel08-baseos                   238 k
 python3-perf                               x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    11 M
 python3-requests                           noarch                2.20.0-6.el8_10                                   rhel08-baseos                   125 k
 python3-setuptools                         noarch                39.2.0-9.el8_10                                   rhel08-baseos                   163 k
 python3-setuptools-wheel                   noarch                39.2.0-9.el8_10                                   rhel08-baseos                   289 k
 python3-sssdconfig                         noarch                2.9.4-5.el8_10.2                                  rhel08-baseos                   155 k
 python3-unbound                            x86_64                1.16.2-5.9.el8_10                                 rhel08-appstream                129 k
 python3.11                                 x86_64                3.11.13-1.el8_10                                  rhel08-appstream                 32 k
 python3.11-libs                            x86_64                3.11.13-1.el8_10                                  rhel08-appstream                 10 M
 python3.11-setuptools-wheel                noarch                65.5.1-4.el8_10                                   rhel08-appstream                722 k
 python3.11-tkinter                         x86_64                3.11.13-1.el8_10                                  rhel08-appstream                410 k
 rcs                                        x86_64                5.10.1-12.el8                                     epel                            255 k
 rsync                                      x86_64                3.1.3-23.el8_10                                   rhel08-baseos                   412 k
 samba-client-libs                          x86_64                4.19.4-9.el8_10                                   rhel08-baseos                   5.0 M
 samba-common                               noarch                4.19.4-9.el8_10                                   rhel08-baseos                   234 k
 samba-common-libs                          x86_64                4.19.4-9.el8_10                                   rhel08-baseos                   183 k
 sqlite                                     x86_64                3.26.0-20.el8_10                                  rhel08-baseos                   668 k
 sqlite-devel                               x86_64                3.26.0-20.el8_10                                  rhel08-baseos                   164 k
 sqlite-libs                                x86_64                3.26.0-20.el8_10                                  rhel08-baseos                   580 k
 sssd                                       x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   120 k
 sssd-ad                                    x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   315 k
 sssd-client                                x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   246 k
 sssd-common                                x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   1.7 M
 sssd-common-pac                            x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   197 k
 sssd-ipa                                   x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   380 k
 sssd-krb5                                  x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   166 k
 sssd-krb5-common                           x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   207 k
 sssd-ldap                                  x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   253 k
 sssd-nfs-idmap                             x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   131 k
 sssd-proxy                                 x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   165 k
 sudo                                       x86_64                1.9.5p2-1.el8_10.1                                rhel08-baseos                   1.0 M
 tar                                        x86_64                2:1.30-10.el8_10                                  rhel08-baseos                   839 k
