X Y Bandwidth Latency Iter HostX HostY
13 1 7547.60 0.77 12 p-sc-2114 p-sc-2102
13 2 7686.14 0.77 15 p-sc-2114 p-sc-2103
13 3 7600.40 0.76 14 p-sc-2114 p-sc-2104
13 4 7569.02 0.76 9 p-sc-2114 p-sc-2105
13 5 7452.29 0.77 8 p-sc-2114 p-sc-2106
13 6 7700.57 0.77 11 p-sc-2114 p-sc-2107
13 7 7688.94 0.77 10 p-sc-2114 p-sc-2108
13 8 7542.22 0.77 5 p-sc-2114 p-sc-2109
13 9 7323.42 0.77 4 p-sc-2114 p-sc-2110
13 10 7476.85 0.75 7 p-sc-2114 p-sc-2111
13 11 7686.14 0.76 6 p-sc-2114 p-sc-2112
13 12 6599.05 0.79 1 p-sc-2114 p-sc-2113
13 13 11310.78 0.13 0 p-sc-2114 p-sc-2114
13 14 7283.86 0.82 3 p-sc-2114 p-sc-2115
13 15 6974.84 0.79 2 p-sc-2114 p-sc-2116

14 0 7519.84 0.74 14 p-sc-2115 p-sc-2101
14 1 7526.95 0.73 15 p-sc-2115 p-sc-2102
14 2 7726.93 0.75 12 p-sc-2115 p-sc-2103
14 3 7800.01 0.75 13 p-sc-2115 p-sc-2104
14 4 7797.50 0.76 10 p-sc-2115 p-sc-2105
14 5 7786.52 0.75 11 p-sc-2115 p-sc-2106
14 6 7936.50 0.74 8 p-sc-2115 p-sc-2107
14 7 7669.42 0.76 9 p-sc-2115 p-sc-2108
14 8 7442.88 0.77 6 p-sc-2115 p-sc-2109
14 9 7605.24 0.75 7 p-sc-2115 p-sc-2110
14 10 7430.57 0.75 4 p-sc-2115 p-sc-2111
14 11 7636.92 0.75 5 p-sc-2115 p-sc-2112
14 12 7028.98 0.77 2 p-sc-2115 p-sc-2113
14 13 7283.12 0.82 3 p-sc-2115 p-sc-2114
14 14 9309.27 0.12 0 p-sc-2115 p-sc-2115
14 15 6762.09 0.78 1 p-sc-2115 p-sc-2116

15 0 7326.21 0.75 15 p-sc-2116 p-sc-2101
15 1 7445.31 0.75 14 p-sc-2116 p-sc-2102
15 2 7677.15 0.75 13 p-sc-2116 p-sc-2103
15 3 7777.24 0.76 12 p-sc-2116 p-sc-2104
15 4 7562.93 0.75 11 p-sc-2116 p-sc-2105
15 5 7662.65 0.75 10 p-sc-2116 p-sc-2106
15 6 7663.98 0.76 9 p-sc-2116 p-sc-2107
15 7 7850.72 0.75 8 p-sc-2116 p-sc-2108
15 8 7433.37 0.77 7 p-sc-2116 p-sc-2109
15 9 7649.89 0.75 6 p-sc-2116 p-sc-2110
15 10 7482.18 0.77 5 p-sc-2116 p-sc-2111
15 11 7485.76 0.78 4 p-sc-2116 p-sc-2112
15 12 7333.04 0.78 3 p-sc-2116 p-sc-2113
15 13 6973.19 0.79 2 p-sc-2116 p-sc-2114
15 14 6763.92 0.78 1 p-sc-2116 p-sc-2115
15 15 10025.51 0.13 0 p-sc-2116 p-sc-2116
